Semana,"Fechas (sección 001, 005)",Tópico,Asignación de Lectura website,Libro,Tareas
Semana 1,,,,,
,,,,,
Semana 2,,,,,
,,,,,
Semana 3,23-24 agosto,Habit y Diversidad de forma de hoja,,,"Proyecto de analisis de diversidad de forma de hoja, margen y venación"
,,,,,
Semana 4,30-31 Agosto,Ejercicio cuantitativo de forma de hoja ,,,Proyecto de analisis de diversidad de forma de hoja en una especie. Hipotesis a comprobar: existe variación sub-individual por cause del efecto de sombra?
,,,,,
Semana 5,6 (Labor Day) – 7 Septiembre,"Estambres y Pistilos, diversidad en los angiosperma",,,
,,,,,
Semana 6,13-14 Septiembre,Ejercicio cuantitativo de cantidad de estambres y pistilo,,,Proyecto de analisis de diversidad de estructura reproductiva
,,,,,
Semana 7,20-21 Septiembre,Diversidad de Frutos ,,,
,,,,,
Semana 8,27-28 Septiembre,Ejercicio cuantitativo de cantidad de semillas por frutos,,,Proyecto de analisis de diversidad de produccion de semillas
,,,,,
Semana 9,4-5 Octubre,Identificación de familia de Plantas: Colección,,,
,,,,,
Semana 10,11-12 Octubre,Identificación de familia de Plantas: Colección,,,
,,,,,
Semana 11,18-19 Octubre,Ecología en Plantas: Competencia,,,
,,Ejercicio para evaluar la competencia,,,
Semana 12,1-2 Noviembre,Ecología en Plantas: Reproducción,,,
,,Ejercicio para evaluar la reproducción,,,
Semana 13,8-9 Noviembre,,,,
,,,,,
Semana 14,15-16 Noviembre,,,,
,,,,,
Semana 15,29 Noviembre,,,,
,,,,,
Semana 16,29 Noviembre,,,,
